xData,yDaya,PolyFit
0,0.001938251,0.038305718
-0.05,0.00349068,0.024062481
-0.1,0.006115331,0.013697935
-0.15,0.009523136,0.006813888
-0.2,0.013972689,0.003046044
-0.25,0.019037065,0.002061969
-0.3,0.023628165,0.003559142
-0.35,0.030336816,0.007263057
-0.4,0.037111627,0.012925413
-0.45,0.044455961,0.020322358
-0.5,0.052367278,0.029252809
-0.55,0.05493258,0.039536827
-0.6,0.061565867,0.051014066
-0.65,0.059764047,0.063542283
-0.7,0.082981255,0.076995904
-0.75,0.099790684,0.09126466
-0.8,0.077861004,0.106252278
-0.85,0.086067661,0.121875229
-0.9,0.132001845,0.13806154
-0.95,0.152936448,0.154749657
-1,0.138957183,0.171887368
-1.05,0.172222147,0.189430775
-1.1,0.208581122,0.207343325
-1.15,0.208739193,0.22559489
-1.2,0.224165617,0.244160903
-1.25,0.259134955,0.263021533
-1.3,0.264741485,0.282160924
-1.35,0.286050032,0.30156647
-1.4,0.31792743,0.321228142
-1.45,0.336375224,0.341137861
-1.5,0.358018938,0.361288916
-1.55,0.382524274,0.381675419
-1.6,0.402606702,0.402291814
-1.65,0.419218076,0.423132418
-1.7,0.44111213,0.444191005
-1.75,0.462703729,0.465460431
-1.8,0.486843079,0.486932295
-1.85,0.513472276,0.508596637
-1.9,0.538252431,0.530441676
-1.95,0.560723813,0.552453575
-2,0.584491231,0.574616246
-2.05,0.606417883,0.596911188
-2.1,0.629000514,0.61931735
-2.15,0.650137175,0.641811032
-2.2,0.669092251,0.664365813
-2.25,0.694029611,0.686952501
-2.3,0.723600736,0.709539123
-2.35,0.747711396,0.732090928
-2.4,0.772043907,0.754570421
-2.45,0.792357184,0.776937426
-2.5,0.808215546,0.799149158
-2.55,0.83216223,0.821160331
-2.6,0.852053765,0.842923278
-2.65,0.877065645,0.864388094
-2.7,0.900497684,0.885502796
-2.75,0.9221662,0.906213502
-2.8,0.941416054,0.92646462
-2.85,0.959421839,0.946199065
-2.9,0.974510898,0.965358476
-2.95,0.991959132,0.983883453
-3,1.004764333,1.001713808
-3.05,1.015794694,1.018788821
-3.1,1.027599301,1.035047507
-3.15,1.056065609,1.050428897
-3.2,1.060165336,1.064872318
-3.25,1.048005592,1.078317686
-3.3,1.084375758,1.090705803
-3.35,1.083232047,1.101978654
-3.4,1.095051388,1.112079713
-3.45,1.099717662,1.120954245
-3.5,1.115830171,1.128549617
-3.55,1.126367731,1.134815599
-3.6,1.112537094,1.139704672
-3.65,1.136849565,1.143172327
-3.7,1.141915584,1.145177369
-3.75,1.090833081,1.145682204
-3.8,1.130474837,1.144653134
-3.85,1.129130139,1.142060635
-3.9,1.122992097,1.137879633
-3.95,1.103380235,1.132089767
-4,1.070647482,1.124675645
-4.05,1.094705248,1.115627087
-4.1,1.113646868,1.104939359
-4.15,1.102957047,1.092613388
-4.2,1.086224014,1.078655967
-4.25,1.071579755,1.063079944
-4.3,1.059799719,1.045904392
-4.35,1.037989834,1.027154767
-4.4,1.013571616,1.006863036
-4.45,0.987004039,0.985067799
-4.5,0.975635063,0.96181438
-4.55,0.951480298,0.937154901
-4.6,0.929195291,0.911148328
-4.65,0.899841669,0.883860499
-4.7,0.87346398,0.855364121
-4.75,0.849791729,0.825738746
-4.8,0.813803213,0.795070713
-4.85,0.772342618,0.763453065
-4.9,0.742644553,0.73098544
-4.95,0.718743616,0.697773921
-5,0.6849092,0.663930867
-5.05,0.646799983,0.629574698
-5.1,0.596709566,0.594829655
-5.15,0.574514508,0.559825524
-5.2,0.542454105,0.524697317
-5.25,0.500507973,0.489584924
-5.3,0.46264407,0.454632719
-5.35,0.429045153,0.419989135
-5.4,0.395089056,0.385806188
-5.45,0.356063126,0.352238971
-5.5,0.319991174,0.319445091
-5.55,0.288188735,0.287584075
-5.6,0.254150518,0.256816728
-5.65,0.224244087,0.227304434
-5.7,0.193301845,0.199208427
-5.75,0.165218624,0.172689002
-5.8,0.138299624,0.147904676
-5.85,0.111923685,0.125011309
-5.9,0.0896066,0.104161159
-5.95,0.069733265,0.085501898
-6,0.051279053,0.069175564
-6.05,0.035533665,0.055317464
-6.1,0.023359309,0.044055018
-6.15,0.014028137,0.035506545
-6.2,0.008341804,0.029779998
-6.25,0.005907313,0.026971629
-6.3,0.006932821,0.027164602
-6.35,0.011186906,0.03042754
-6.4,0.019790192,0.036813013
-6.45,0.032405595,0.046355959
-6.5,0.047281364,0.059072039
-6.55,0.065009975,0.074955935
-6.6,0.086730131,0.09397957
-6.65,0.115344263,0.116090264
-6.7,0.145998031,0.141208826
-6.75,0.177376058,0.169227568
-6.8,0.212256012,0.200008253
-6.85,0.251211201,0.233379965
-6.9,0.292260417,0.269136915
-6.95,0.331770678,0.307036162
-7,0.371132511,0.346795264
-7.05,0.414144597,0.388089852
-7.1,0.458375081,0.430551123
-7.15,0.499926318,0.47376326
-7.2,0.537775484,0.517260764
-7.25,0.578775315,0.560525711
-7.3,0.621833335,0.602984927
-7.35,0.660442481,0.64400707
-7.4,0.691190881,0.682899644
-7.45,0.717252383,0.718905913
-7.5,0.740580035,0.751201732
-7.55,0.764928778,0.7788923
-7.6,0.78009052,0.801008805
-7.65,0.786842845,0.816505001
-7.7,0.787858092,0.824253676
-7.75,0.78509281,0.823043037
-7.8,0.777938025,0.811573002
-7.85,0.766873976,0.788451392
-7.9,0.746713495,0.752190035
-7.95,0.724294188,0.701200766
-8,0.696658596,0.633791338
